file,hypothesis,reference,duration,word_count
ARA NORM  0001.wav,أتاحت للبائع المتجولي أن يكون جاذباً للمواطن الأقل دخلاً,>atAHat lilbA}iEi lmutajaw~ili >an yakuwna jA*iban lilmuwATini l>aqal~i daxlan,7.11,9
ARA NORM  0002.wav,أحرزت منتخبات البرازيل والمانيا وروسيا فوزا في مقابلاتهم الإعدادية التي أُقيمت استعدادا لنهائيات كأس العالم التي ستنطلق بعد أقل من أسبوع,>aHrazat muntaxabAtu lbarAziyli wa>lmAnyA waruwsyA - fawzan fiy muqAbalAtihim l<iEdAdiy~api l~atiy >uqiymat istiEdAdan linihA}iy~Ati ka>si lEAlam - >al~atiy satanTaliqu baEda >aqal~i min >usbuwE,17.75,21
ARA NORM  0003.wav,أخفق مجلس النواب اللبناني في اختيار رئيس جديد للبلاد خلفاً لرئيس الحالي الذي تنتهي ولايته في الخامس والعشرين من مايو أيار المقبل,>axfaqa majlisu ln~uw~Abi ll~ubnAniy~u fiy xtiyAri ra}iysin jadiydin lilbilAdi - xalafan lilr~a}iysi lHAliy~i l~a*iy tantahiy wilAyatuhu fiy lxAmisi wAlEi$riyn - min mAyuw >ayAra lmuqbil,16.15,22
ARA NORM  0004.wav,إذ سيحضر رقاء هذا العام خمس وثلاثون منهم,<i* sayaHDuru liqA'a ha*A lEAmi xamsun wa^alA^uwna minhum,4.87,8
ARA NORM  0005.wav,أعلنت الحكومة المصرية عن وقف تقديم الدعم النقدي لمزارعي القطن اعتبارا من الموسم الزراعي المقبل,>aElanati lHukuwmapu lmiSriy~apu Ean waqfi taqdiymi ld~aEmi ln~aqdiy~i limuzAriEiy lquTni - <iEtibAran mina lmuwsimi lz~irAEiy~i lmuqbil,11.37,15
ARA NORM  0006.wav,أعلنت وزارة الصحة السعودية اليوم عن وفاتين جديدتين بالفيروس التاجي كورونا نوفل,>aElanat wizArapu lSi~Ha~pi lsa~Euwdiya~pu lyawma Ean wafAtayni jadiydatayni biAlfayruwsi lta~Ajiyi - kuwruwnA nuwfil,10.62,12
ARA NORM  0007.wav,افتتحت الجمعة تفعاليات الدورة الرابعة عشرة من المهرجان الدولي للفلم بمراكش,<iftutiHati ljumuEapa faE~Aliy~Atu ld~awrapi lr~AbiEapa Ea$rapa - mina lmihrajAni ld~awliy~i lilfiylmi bimur~Aki$,10.03,11
ARA NORM  0008.wav,أكدت عشر دول عربية شاركت الخميس الماضي في اجتماع جدة موافقتها على الانضمام إلى حلف مع الولايات المتحدة لشن حملة عسكرية منسقة ضد تنظيم الدولة الإسلامية,>ak~adat Ea$ru duwalin Earabiy~apin $Arakati lxamiysa lmADiya fiy jtimAEi jd~ap - muwAfaqatahA EalY l<inDimAmi <ilY Hilfin maEa lwilAyAti lmut~aHidapi - li$an~i Hamlapin Easkariy~apin munas~aqapin Did~a tanZiymi - >ald~awlapi l<islAmiy~api,21.61,26
ARA NORM  0009.wav,التحق لوكا زيدانة ابن النجم الدولي الفرنسي الجزائري الأصل زين الدين زيدان بالفريق,<iltaHaqa luwkA ziydAna - <ibnu ln~ajmi ld~awliy~i lfaransiy~i ljazA}iriy~i l>Sli zayni ld~iyni ziydAn - biAlfariyq,10.41,13
ARA NORM  0010.wav,المشاكل التي يتركها خلفه دائما,>alma$Akilu l~atiy yatrukuhA xalfahu dA}iman,3.98,5
ARA NORM  0011.wav,الذي يتضمن مزايا برماجية وبصرية عديدة تهدف لمواكبة التطور الحاصل في الفضاء الإلكتروني وتسهيل استفادة القراء من خدمات الموقع,>al~a*iy yataDam~anu mazAyA barmajiy~apan wabaSariy~apan Eadiydapan - tahdifu limuwAkabapi lt~aTaw~uri lHASili fiy lfaDA'i l<ilktruwniy - watashiyli stifAdapi lqur~A'i min xadamAti lmawqiE,16.02,19
ARA NORM  0012.wav,الفكرة وإن بدت جديدة على مجتمع يعيش واقعا سيئا لا تشجع على الضحك,>alfikrapu wa<in badat jadiydapan EalY mujtamaEin yaEiy$u wAqiEan sayi}aan - lA tu$aj~iEu EalY lD~aHik,8.92,13
ARA NORM  0013.wav,مشيرا إلى خدمة القرآن الكريم وتعزيز علاقة المسلمين به,mu$iyraan <ilY xidmapi lqur>Ani lkariymi - wataEziyzi EalAqapi lmuslimiyna bihi,6.92,9
ARA NORM  0014.wav,إنه عندما يكون أحد الزوجين يستخدم أحد أشكال التكنولوجيا أكثر من الآخر,<in~ahu EindamA yakuwnu >aHadu lz~awjayni yastaxdimu >aHada >a$kAli lt~iknuwluwjyA - >ak^ara mina l>Axar,8.75,12
ARA NORM  0015.wav,وذلك بحضور رئيس الهيئة,wa*alika biHuDuwri ra}yisi lhay}api,3.08,4
ARA NORM  0016.wav,وذلك في بطولة كأس العالم للأندية بعد نسخة تاريخية العام الماضي انتهت بتتويج بايرين ميونيخ الألمانية على حساب الرجاء المغربي في أول تأهل لفريق عربي إلى نهاي المسابقة,wa*alika fiy buTuwlapa ka>si lEAlami lil>andiyapi baEda nusxapin tAriyxiy~apin >alEAma lmADiya - <intahat bitatwiyji bAyrin miyuwniyxa l>almAniy~a - EalY HisAbi lr~ajA'i lmagribiy~i - fiy >aw~ali ta>ah~ulin lifariyqin Earabiy~in <ilY nihA}iy~i lmusAbaqapi,22.42,28
ARA NORM  0017.wav,بل يجب البحث فيما تمثله من إضافة حقيقية للإقتصاد المصري في مجالات التوظيف باعتبار أن مشكلة البطالة من المشكلات الرئيسية في مصر.,bal yajibu lbaH^u fiymA tuma^~iluhu min <iDAfapin Haqiyqiy~apin lil<iqtiSAdi lmaSriy~i - fiy majAlAti lt~awZiyf - biAEtibAri >an~a mu$kilapa lbiTAlapi mina lmu$kilAti lr~a}iysiy~api fiy miSr,16.98,22
ARA NORM  0018.wav,تحتضن قاعة ذا فينيو وسط بيروتة معرض الفن الاستثنائي,taHtaDinu qAEapu - *A fiynyuw- wasaTa bayruwta - maEriDa lfan~i l<isti^nA}iy~i,8.62,9
ARA NORM  0019.wav,تربية الحمام هواية ومهنة لبعض الناس,tarbiyapu lHamAmi - hiwAyapun wamihnapun libaEDi ln~As,5.57,6
ARA NORM  0020.wav,تسعى شبكة التواصل الاجتماعي الصاعدة إلى منافسة شبكة فيسبوك عبر التخلي عن الإعلانات والحفاظ على الخصوصية وحماية البيانات.,tasEY $abakapu lt~awASuli l<ijtimAEiy~i lS~AEidapu - <iylw - <ilY munAfasapi $abakapi - fysbuwk - Eabra lt~axal~iy Eani l<iElAnAti - wAlHifAZi EalY lxuSuwSiy~api - waHimAyapi lbayAnAt,18.98,18
ARA NORM  0021.wav,جمع المؤنث السالم مثل فازت إحدى الطالبات في مسابقة القرآات القرآنية,jamEu lmu&ana~^i lsa~Alimi mi^la - fAzat <iHdY lTa~AlibAti fiy musAbaqapi lqirA'Ati lqur>Aniya~pi,9.02,11
ARA NORM  0022.wav,حتى الأمس القريب كان الكثير من الأكرانيين يشكّكون في انتماء تتاري شبه جزيرة القرم.,Hat~Y l>amsi lqariyb - kAna lka^iyru mina l>uwkrAniy~iyn - yu$ak~ikuwna fiy ntimA'i tatAri $ibhi jaziyrapi lqarm,9.7,14
ARA NORM  0023.wav,حذّرت الأمم المتحدة من أن العالم سيواجه خلال العقود المقبلة تفاقم أزمة مزدوجة في المياه والكهرباء,Ha*~arati l>umamu lmut~aHidapu min >an~a lEAlama sayuwAjihu xilAla lEuquwdi lmuqbilapi - tafAquma >azmapin muzdawijapin fiy lmiyAh - wAlkahrabA',12.68,16
ARA NORM  0024.wav,حضور بعض الزعماء في المسيرة الجمهورية بباريس,HuDuwru baEDi lz~uEamA'i fiy - >almasiyrapi ljumhuwriy~api - bibAriys,7.04,7
ARA NORM  0025.wav,حيث كان العرب أول من عرف قيمتها العلاجية في القرن العاشر قبل الميلاد في مملكة السبأ,Hay^u kAna lEarabu >w~ala man Earafa qiymatahA lEilAjiy~apa - fiy lqarni lEA$iri qabla lmiylAd - fiy mamlakapi saba>,10.78,16
ARA NORM  0026.wav,دخلت التكنولوجيا في كل بيت واسرة، وأصبحت تشكل الجزء الكبير من حياتنا.,daxalati lt~iknuwluwjyA fiy kul~i baytin wa>usrapin - wa>aSbaHat tu$ak~ilu ljuz'a lkabiyra min HayAtinA,8.6,12
ARA NORM  0027.wav,دون تحميل الجسم جهداً كبيراً في البداية قد يتسبب في نفور الشخص من الاستمرار,duwna taHmiyli ljismi juhdan kabiyran fiy lbidAyapi - qad yatasaba~bu fiy nufuwri l$a~xSi mina l<istimrAr,8.73,14
ARA NORM  0028.wav,رغم النزاع الدامي الذي يعصف بالبلاد منذ ثلاث سنوات,ragma ln~izAEi ld~Amiy - >al~a*iy yaESifu biAlbilAd - mun*u ^al>a^i sanawAt,7.33,9
ARA NORM  0029.wav,رفض مجلس الأمن الدولي مشروع القرار الفلسطيني رامي إلى انهاء الاحتلال الإسرائيلي في عامين,rafaDa majlisu l>amni ld~awliy~u - ma$ruwEa lqarAri lfilisTiyniy~i lr~Amiy - <ilY <inhA'i l<iHtilAli l<isrA}iyliy~i fiy EAmayn,11.91,14
ARA NORM  0030.wav,رمز الدولة التركية العلمانية التي تأسست عقب انهيار الدولة العثمانية,ramzu ld~awlapi lt~urkiy~api lEilmAniy~api al~atiy ta>as~asat - Eaqiba nhiyAri ld~awlapi lEu^mAniy~api,9.17,10
ARA NORM  0031.wav,شارك موقع الجزيرة لتعلم العربية في المؤتمر الدولي الثاني للغة العربية الذي نظمته جامعة مولانا مالك إبراهيم الإسلامية الحكومية بمدينة مالانق بالتعاون مع جامعة دار السلام بمدينة كونتور في أندونيسيا,$Araka mawqiEu - >aljaziyrapi litaEal~umi lEarabiy~api - fiy lmu&tamari ld~awliy~i l^~Aniy lil~ugapi lEarabiy~api - >al~a*iy naZ~amathu jAmiEapu mawlAnA mAlik <ibrAhiym - >al<islAmiy~apu lHukuwmiyapu bimadiynapi mAlAnq - biAlt~aEAwuni maEa jAmiEapi dAri ls~alAm - bimadiynapi kuwntuwr - fiy >anduwniysyA,28.68,30
ARA NORM  0032.wav,شرع الاتحاد التونسي للفروسية في تنفيذ خطة ترنو إلى المضي بهذه الرياضة نحو بلوغ العالمية,$araEa l<it~iHAdu lt~uwnusiy~u lilfuruwsiy~api fiy tanfiy* - xuT~apin tarnuw <ilY lmuDiy~i biha*ihi lr~iyADapi - naHwa buluwgi lEAlamiy~api,12.66,15
ARA NORM  0033.wav,شهد عام 2014 عدة إنجازات طبية,$ahida EAmu >alfayni wa>arbaEapa Ea$rapa - Eid~apa <injAzAtin Tib~iy~apin,6.96,6
ARA NORM  0034.wav,عاد ارتفاع أسعار الأدوية وشح المنقذ للحياة منها ليطل برأسه في السودان من جديد,EAda <irtifAEu >asEAri l>dwiyapi - wa$uH~u lmunqi*i lilHayApi minhA - liyuTil~a bira>sihi fiy ls~uwdAni min jadiydin,10.85,14
ARA NORM  0035.wav,على اعتبارها تساعد على توسيع مدارك الأطفال وتجعل منهم أُناساً مُثقَّفين مُستقبلاً ومواكبين لعصر التكنولوجيا المعلومات,EalY EtibArihA tusAEidu EalY tawsiyEi madAriki l>aTfAl - watajEalu minhum - >unAsan mu^aq~afiyna mustaqbalan - wamuwAkibiyna liEaSri tiknuwluwjyA lmaEluwmAt,14.64,16
ARA NORM  0036.wav,وذلك على خلاف نظرائه السابقين,wa*alika EalY xilAfi nuZarA}ihi ls~Abiqiyn,3.81,5
ARA NORM  0037.wav,فتحت أكاديمية الموسيقى العربية رسميا يوم السبت أبوابها في بروكسيل بحضور مجموعة من الوزراء ورجال الفن البلجيكيين والعرب,fataHat >akAdiymiy~apu lmuwsiyqY lEarabiy~api rasmiy~an yawma ls~abt - >abwAbahA fiy bruwksil - biHuDuwri majmuwEapin mina lwuzarA' - warijAli lfan~i lbaljiykiy~iyna wAlEarab,15.4,18
ARA NORM  0038.wav,فطحظ بتعلم يمحو أميتها ويضيء لها طريق المعرفة والتكنولوجيا,fataHZY bitaEal~umin yamHuw >um~iy~atahA - wayuDiy'u lahA Tariyqa lmaErifapi wAlt~iknuwluwjyA,8.41,9
ARA NORM  0039.wav,فهذا المنزل المتواضع أصبح محجا لعدد كبير من النساء المريضات بالسرطان,faha*A lmanzilu lmutawADiE - >aSbaHa maHaj~aan liEadadin kabiyrin mina ln~isA'i lmariyDAti biAls~araTAn,8.68,11
ARA NORM  0040.wav,حدث ذلك في حي يعقوب المنصور الشعبي,Hada^a *alika fiy Hay - yaEquwba lmanSuwr- l$~aEbiy~i,5.56,7
ARA NORM  0041.wav,في حين كان المركز الأول في الوثب العالي من نصيب الكرواتية آنا سميج,fiy Hiyni kAna lmarkazu l>aw~alu fiy lwa^bi lEAliy - min naSiybi lkuruwAtiy~api >AnA siymiyt$,8.24,13
ARA NORM  0042.wav,قال باحثون إن رياحا أقوى من المعتاد خففت من حرارة سطح المحيط الهادي هي سبب الطباط المؤقت في ارتفاع درجة حرارة الأرض منذ بداية القرن الحادي والعشرين,qAla bAHi^uwna <in~a riyAHan >aqwY mina lmuEtAd - xaf~afat min HarArapi saTHi lmuHiyTi lhAdiy - hiya sababu lt~abATu}i lmu&aq~at - fiy rtifAEi darajapi HarArapi l>arD - mun*u bidAyapi lqarni lHAdiy wAlEi$riyn,19.01,27
ARA NORM  0043.wav,قبل أن يسلم ليدافع عن دينه محبا ومحترما لأصله وماضيه,qabla >an yuslima liyudAfiEa Ean diynih - muHib~aan wamuHtariman li>aSlihi wamADiyh,7.63,10
