sample_id,reference,hypothesis,wer,cer,duration
1,كان سامي مدرّسا بالفطرة.,كيف نففت؟ كان سامي مدرسا بالفترة.,1.0,0.5,7.6
2,من الممكن أنها لن تأتي غداً.,من الممكن أنها لن تأتي غدا,0.1667,0.0714,3.94
3,إبنك بطل.,ابنك البطل,1.0,0.4444,3.74
4,جاء ذلك الغبيّ يبحث عنّي.,جاء ذلك الغبي يبحث عني,0.4,0.12,4.79
5,سامي يعلم أنّ ليلى غاضبة عليه.,سامي يعلم أن ليلا غاضبة علي,0.5,0.1333,4.9
6,الواعظ الأمرد هذا الذي,الله عز والأمرد هذي الذي,1.0,0.2727,3.64
7,سمح له هذا بالتخصص في البرونز الصغير، الذي يتم إنتاجه بشكل رئيسي ومربح للتصدير.,سامحة له هذا بالتخزز في البرونز الصغير الذي تم إنتاجه بشكل رئيسي المجربحين للتصدير,0.4286,0.1519,8.28
8,أيا سعد قل للقس من داخل الدير,ايا سعد قلل القصي من داخل الديء,0.5714,0.2069,4.57
9,ألديك قلم ؟,لديك خدم,1.0,0.4545,3.34
10,لقد قابلته.,لقد قابلته,0.5,0.0909,4.61
11,لا تخشعن لطارق الحدثان,لا تخشى عنا لطارق الحدثاني,0.75,0.1818,3.53
12,يا نديمي قسم بي الى الصهباء,يا نديمي قسم بي إلى الصحبائي,0.3333,0.1481,6.77
13,إنك تكبر المشكلة.,إنك تكون مشكلة جداً,1.0,0.5294,3.19
14,أنت عندي عربي الأصل ما فيك كلام,انت عندي عربي الأصل ما فيك كلام,0.1429,0.0323,5.18
15,مات الملك!,مات الملك,0.5,0.1,2.56
16,أَحَبُّ نظريّة علمية إليّ هي أن حلقات زحل مكونة بالكامل من الأمتعة المفقودة.,أحب نظرية علمية إلي هي أن حلقة زحا المكونا بالكامل من الأمتع المفقودة,0.6154,0.1842,8.06
17,درس كل يوم لمدة ساعة ونصف.,درس كل يوم لمدة ساعة ونصف,0.1667,0.0385,6.22
